path_id	description
hsa00980	Metabolism of xenobiotics by cytochrome P450
hsa00982	Drug metabolism - cytochrome P450
hsa00983	Drug metabolism - other enzymes
hsa01040	Biosynthesis of unsaturated fatty acids
hsa01100	Metabolic pathways
hsa02010	ABC transporters
hsa03008	Ribosome biogenesis in eukaryotes
hsa03010	Ribosome
hsa03013	RNA transport
hsa03015	mRNA surveillance pathway
hsa03018	RNA degradation
hsa03020	RNA polymerase
hsa03022	Basal transcription factors
hsa03030	DNA replication
hsa03040	Spliceosome
hsa03050	Proteasome
hsa03060	Protein export
hsa03320	PPAR signaling pathway
hsa03410	Base excision repair
hsa03420	Nucleotide excision repair
hsa03430	Mismatch repair
hsa03440	Homologous recombination
hsa03450	Non-homologous end-joining
hsa04010	MAPK signaling pathway
hsa04012	ErbB signaling pathway
hsa04020	Calcium signaling pathway
hsa04060	Cytokine-cytokine receptor interaction
hsa04062	Chemokine signaling pathway
hsa04070	Phosphatidylinositol signaling system
hsa04080	Neuroactive ligand-receptor interaction
hsa04110	Cell cycle
hsa04114	Oocyte meiosis
hsa04115	p53 signaling pathway
hsa04120	Ubiquitin mediated proteolysis
hsa04122	Sulfur relay system
hsa04130	SNARE interactions in vesicular transport
hsa04140	Regulation of autophagy
hsa04141	Protein processing in endoplasmic reticulum
hsa04142	Lysosome
hsa04144	Endocytosis
hsa04145	Phagosome
hsa04146	Peroxisome
hsa04150	mTOR signaling pathway
hsa04210	Apoptosis
hsa04260	Cardiac muscle contraction
hsa04270	Vascular smooth muscle contraction
hsa04310	Wnt signaling pathway
hsa04320	Dorso-ventral axis formation
hsa04330	Notch signaling pathway
hsa04340	Hedgehog signaling pathway
hsa04350	TGF-beta signaling pathway
hsa04360	Axon guidance
hsa04370	VEGF signaling pathway
hsa04380	Osteoclast differentiation
hsa04510	Focal adhesion
hsa04512	ECM-receptor interaction
hsa04514	Cell adhesion molecules (CAMs)
hsa04520	Adherens junction
hsa04530	Tight junction
hsa04540	Gap junction
hsa04610	Complement and coagulation cascades
hsa04612	Antigen processing and presentation
hsa04614	Renin-angiotensin system
hsa04620	Toll-like receptor signaling pathway
hsa04621	NOD-like receptor signaling pathway
hsa04622	RIG-I-like receptor signaling pathway
hsa04623	Cytosolic DNA-sensing pathway
hsa04630	Jak-STAT signaling pathway
hsa04640	Hematopoietic cell lineage
hsa04650	Natural killer cell mediated cytotoxicity
hsa04660	T cell receptor signaling pathway
hsa04662	B cell receptor signaling pathway
hsa04664	Fc epsilon RI signaling pathway
hsa04666	Fc gamma R-mediated phagocytosis
hsa04670	Leukocyte transendothelial migration
hsa04672	Intestinal immune network for IgA production
hsa04710	Circadian rhythm - mammal
hsa04720	Long-term potentiation
hsa04722	Neurotrophin signaling pathway
hsa04730	Long-term depression
hsa04740	Olfactory transduction
hsa04742	Taste transduction
hsa04744	Phototransduction
hsa04810	Regulation of actin cytoskeleton
hsa04910	Insulin signaling pathway
hsa04912	GnRH signaling pathway
hsa04914	Progesterone-mediated oocyte maturation
hsa04916	Melanogenesis
hsa04920	Adipocytokine signaling pathway
hsa04930	Type II diabetes mellitus
hsa04940	Type I diabetes mellitus
hsa04950	Maturity onset diabetes of the young
hsa04960	Aldosterone-regulated sodium reabsorption
hsa04962	Vasopressin-regulated water reabsorption
hsa04964	Proximal tubule bicarbonate reclamation
hsa04966	Collecting duct acid secretion
hsa04970	Salivary secretion
hsa04971	Gastric acid secretion
hsa04972	Pancreatic secretion
hsa04973	Carbohydrate digestion and absorption
hsa04974	Protein digestion and absorption
hsa04975	Fat digestion and absorption
hsa04976	Bile secretion
hsa04977	Vitamin digestion and absorption
hsa05010	Alzheimer's disease
hsa05012	Parkinson's disease
hsa05014	Amyotrophic lateral sclerosis (ALS)
hsa05016	Huntington's disease
hsa05020	Prion diseases
hsa05100	Bacterial invasion of epithelial cells
hsa05110	Vibrio cholerae infection
hsa05120	Epithelial cell signaling in Helicobacter pylori infection
hsa05130	Pathogenic Escherichia coli infection
hsa05131	Shigellosis
hsa05140	Leishmaniasis
hsa05142	Chagas disease (American trypanosomiasis)
hsa05143	African trypanosomiasis
hsa05144	Malaria
hsa05145	Toxoplasmosis
hsa05146	Amoebiasis
hsa05150	Staphylococcus aureus infection
hsa05160	Hepatitis C
hsa05200	Pathways in cancer
hsa05210	Colorectal cancer
hsa05211	Renal cell carcinoma
hsa05212	Pancreatic cancer
hsa05213	Endometrial cancer
hsa05214	Glioma
hsa05215	Prostate cancer
hsa05216	Thyroid cancer
hsa05217	Basal cell carcinoma
hsa05218	Melanoma
hsa05219	Bladder cancer
hsa05220	Chronic myeloid leukemia
hsa05221	Acute myeloid leukemia
hsa05222	Small cell lung cancer
hsa05223	Non-small cell lung cancer
hsa05310	Asthma
hsa05320	Autoimmune thyroid disease
hsa05322	Systemic lupus erythematosus
hsa05323	Rheumatoid arthritis
hsa05330	Allograft rejection
hsa05332	Graft-versus-host disease
hsa05340	Primary immunodeficiency
hsa05410	Hypertrophic cardiomyopathy (HCM)
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
hsa05414	Dilated cardiomyopathy
hsa05416	Viral myocarditis
hsa05152	Tuberculosis 
